label,checkpoint_step,model_id,sample,points,base_bits,enhancement_bits,full_bits,base_bpp,enhancement_bpp,full_bpp,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611,hard_full_max_abs_difference
D111_p100,1863,RWT115,RWT115/model_mesh_P0.h5,68949,10960,18320,29280,0.15895807045787466,0.26570363602082697,0.42466170647870166,4.74996e-05,1.79421e-05,1.10213e-05,43.2331,47.4613,49.5777,44.5547,0.0
D111_p200,1963,RWT115,RWT115/model_mesh_P0.h5,68949,10960,19040,30000,0.15895807045787466,0.27614613699981144,0.43510420745768613,4.66912e-05,1.76447e-05,1.08398e-05,43.3077,47.5338,49.6498,44.62872499999999,0.0
D111_p300,2063,RWT115,RWT115/model_mesh_P0.h5,68949,10960,18112,29072,0.15895807045787466,0.26268691351578705,0.4216449839736617,4.78431e-05,1.80669e-05,1.0955e-05,43.2018,47.4312,49.6039,44.5307375,0.0
D411_p100,1863,RWT115,RWT115/model_mesh_P0.h5,68949,10960,33072,44032,0.15895807045787466,0.4796588783013532,0.6386169487592278,3.10403e-05,2.091e-05,1.15346e-05,45.0807,46.7965,49.38,45.832587499999995,0.0
D411_p200,1963,RWT115,RWT115/model_mesh_P0.h5,68949,10960,36000,46960,0.15895807045787466,0.5221250489492233,0.681083119407098,2.87433e-05,2.22135e-05,1.16027e-05,45.4146,46.5338,49.3544,46.046974999999996,0.0
D411_p300,2063,RWT115,RWT115/model_mesh_P0.h5,68949,10960,35864,46824,0.15895807045787466,0.5201525765420818,0.6791106469999565,2.83377e-05,2.24359e-05,1.16934e-05,45.4764,46.4906,49.3206,46.08369999999999,0.0
D611_p100,1863,RWT115,RWT115/model_mesh_P0.h5,68949,10960,36912,47872,0.15895807045787466,0.535352216855937,0.6943102873138116,2.78294e-05,2.28149e-05,1.21449e-05,45.555,46.4178,49.1561,46.112987499999996,0.0
D611_p200,1963,RWT115,RWT115/model_mesh_P0.h5,68949,10960,39392,50352,0.15895807045787466,0.5713208313391057,0.7302789017969804,2.60285e-05,2.3497e-05,1.22428e-05,45.8455,46.2899,49.1212,46.310512499999994,0.0
D611_p300,2063,RWT115,RWT115/model_mesh_P0.h5,68949,10960,39408,50368,0.15895807045787466,0.5715528869164165,0.7305109573742912,2.56492e-05,2.34883e-05,1.22881e-05,45.9093,46.2915,49.1051,46.35655,0.0
D111_p100,1863,RWT14,RWT14/mesh_P0.h5,50118,31080,60928,92008,0.6201364779121273,1.2156909693124227,1.8358274472245502,8.62054e-05,1.41215e-05,6.53443e-06,40.6447,48.5012,51.8479,43.027162499999996,0.0
D111_p200,1963,RWT14,RWT14/mesh_P0.h5,50118,31080,61488,92568,0.6201364779121273,1.2268645995450735,1.847001077457201,8.50356e-05,1.41257e-05,6.53136e-06,40.704,48.4999,51.85,43.0717375,0.0
D111_p300,2063,RWT14,RWT14/mesh_P0.h5,50118,31080,60792,91872,0.6201364779121273,1.212977373398779,1.8331138513109062,8.65794e-05,1.40337e-05,6.51144e-06,40.6259,48.5283,51.8632,43.0183625,0.0
D411_p100,1863,RWT14,RWT14/mesh_P0.h5,50118,31080,82696,113776,0.6201364779121273,1.6500259387844687,2.270162416696596,5.0254e-05,1.4901e-05,6.80423e-06,42.9883,48.2678,51.6722,44.733725,0.0
D411_p200,1963,RWT14,RWT14/mesh_P0.h5,50118,31080,87440,118520,0.6201364779121273,1.744682549183926,2.364819027096053,4.44342e-05,1.50634e-05,6.9289e-06,43.5228,48.2208,51.5934,45.118875,0.0
D411_p300,2063,RWT14,RWT14/mesh_P0.h5,50118,31080,88128,119208,0.6201364779121273,1.7584101520411828,2.37854662995331,4.3238e-05,1.50994e-05,6.93285e-06,43.6413,48.2104,51.5909,45.2061375,0.0
D611_p100,1863,RWT14,RWT14/mesh_P0.h5,50118,31080,87552,118632,0.6201364779121273,1.746917275230456,2.3670537531425837,4.46837e-05,1.51314e-05,7.01714e-06,43.4985,48.2012,51.5384,45.091325,0.0
D611_p200,1963,RWT14,RWT14/mesh_P0.h5,50118,31080,91592,122672,0.6201364779121273,1.8275270361945808,2.4476635141067082,3.99446e-05,1.52083e-05,7.08872e-06,43.9854,48.1792,51.4943,45.4482375,0.0
D611_p300,2063,RWT14,RWT14/mesh_P0.h5,50118,31080,92600,123680,0.6201364779121273,1.8476395706133524,2.46777604852548,3.86393e-05,1.5182e-05,7.06126e-06,44.1297,48.1867,51.5112,45.5595125,0.0
D111_p100,1863,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,67880,117056,0.762690571831816,1.052778510166416,1.815469081998232,7.28059e-05,4.45786e-05,5.08099e-05,41.3783,43.5087,42.9405,41.839875,0.0
D111_p200,1963,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,68616,117792,0.762690571831816,1.0641934333173069,1.8268840051491229,7.21629e-05,4.45439e-05,5.06902e-05,41.4169,43.5121,42.9508,41.8705375,0.0
D111_p300,2063,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,67896,117072,0.762690571831816,1.053026660669696,1.815717232501512,7.31063e-05,4.45554e-05,5.05288e-05,41.3605,43.511,42.9646,41.82982500000001,0.0
D411_p100,1863,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,86176,135352,0.762690571831816,1.3365386106673698,2.0992291824991858,4.57043e-05,4.89941e-05,5.52606e-05,43.4004,43.0986,42.5758,43.2596,0.0
D411_p200,1963,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,89232,138408,0.762690571831816,1.3839353567938955,2.1466259286257117,4.16025e-05,5.17875e-05,5.68453e-05,43.8088,42.8577,42.453,43.5204375,0.0
D411_p300,2063,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,89376,138552,0.762690571831816,1.3861687113234176,2.148859283155234,4.07547e-05,5.25266e-05,5.73095e-05,43.8982,42.7962,42.4177,43.575387500000005,0.0
D611_p100,1863,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,89264,138440,0.762690571831816,1.384431657800456,2.147122229632272,4.16579e-05,5.24095e-05,5.75506e-05,43.803,42.8059,42.3995,43.502925,0.0
D611_p200,1963,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,92240,141416,0.762690571831816,1.4305876514105804,2.1932782232423964,3.77719e-05,5.52044e-05,5.94348e-05,44.2283,42.5803,42.2596,43.7762125,0.0
D611_p300,2063,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,92336,141512,0.762690571831816,1.432076554430262,2.194767126262078,3.69572e-05,5.62692e-05,5.99727e-05,44.323,42.4973,42.2205,43.831975,0.0
D111_p100,1863,RWT158,RWT158/sutr13_P0.h5,90046,38224,43752,81976,0.42449414743575503,0.48588499211514113,0.9103791395508962,7.4396e-05,2.54863e-05,1.41607e-05,41.2845,45.9369,48.4892,42.766637499999995,0.0
D111_p200,1963,RWT158,RWT158/sutr13_P0.h5,90046,38224,44688,82912,0.42449414743575503,0.4962796792750372,0.9207738267107922,7.34052e-05,2.51808e-05,1.40035e-05,41.3427,45.9893,48.5376,42.8228875,0.0
D111_p300,2063,RWT158,RWT158/sutr13_P0.h5,90046,38224,43400,81624,0.42449414743575503,0.48197587899518024,0.9064700264309353,7.51691e-05,2.55076e-05,1.41499e-05,41.2396,45.9333,48.4925,42.732925,0.0
D411_p100,1863,RWT158,RWT158/sutr13_P0.h5,90046,38224,75072,113296,0.42449414743575503,0.8337072163116629,1.258201363747418,4.66272e-05,2.80624e-05,1.50992e-05,43.3136,45.5188,48.2105,44.2013625,0.0
D411_p200,1963,RWT158,RWT158/sutr13_P0.h5,90046,38224,80376,118600,0.42449414743575503,0.8926104435510739,1.3171045909868289,4.29917e-05,2.87389e-05,1.52065e-05,43.6662,45.4153,48.1797,44.449025000000006,0.0
D411_p300,2063,RWT158,RWT158/sutr13_P0.h5,90046,38224,80264,118488,0.42449414743575503,0.8913666348310864,1.3158607822668413,4.27946e-05,2.90033e-05,1.52723e-05,43.6861,45.3755,48.161,44.4566375,0.0
D611_p100,1863,RWT158,RWT158/sutr13_P0.h5,90046,38224,83088,121312,0.42449414743575503,0.9227283832707727,1.3472225307065278,4.16086e-05,2.91107e-05,1.5398e-05,43.8082,45.3595,48.1253,44.54175,0.0
D611_p200,1963,RWT158,RWT158/sutr13_P0.h5,90046,38224,87592,125816,0.42449414743575503,0.9727472625102725,1.3972414099460275,3.88865e-05,2.96926e-05,1.54684e-05,44.102,45.2735,48.1055,44.748875,0.0
D611_p300,2063,RWT158,RWT158/sutr13_P0.h5,90046,38224,87840,126064,0.42449414743575503,0.975501410390245,1.399995557826,3.86118e-05,2.99612e-05,1.56084e-05,44.1328,45.2344,48.0664,44.7622,0.0
D111_p100,1863,RWT166,RWT166/model_mesh_P0.h5,59443,19688,43800,63488,0.33120804804602727,0.7368403344380331,1.0680483824840603,6.45301e-05,5.02367e-05,5.36049e-05,41.9024,42.9898,42.708,42.139025000000004,0.0
D111_p200,1963,RWT166,RWT166/model_mesh_P0.h5,59443,19688,43912,63600,0.33120804804602727,0.7387244923708427,1.06993254041687,6.38206e-05,5.00859e-05,5.31061e-05,41.9504,43.0028,42.7486,42.181725,0.0
D111_p300,2063,RWT166,RWT166/model_mesh_P0.h5,59443,19688,42768,62456,0.33120804804602727,0.7194791649142876,1.0506872129603149,6.5553e-05,5.06938e-05,5.33571e-05,41.8341,42.9505,42.7281,42.08539999999999,0.0
D411_p100,1863,RWT166,RWT166/model_mesh_P0.h5,59443,19688,66592,86280,0.33120804804602727,1.1202664737647832,1.4514745218108103,3.92547e-05,5.17902e-05,5.6157e-05,44.0611,42.8575,42.506,43.7162625,0.0
D411_p200,1963,RWT166,RWT166/model_mesh_P0.h5,59443,19688,66736,86424,0.33120804804602727,1.1226889625355383,1.4538970105815656,3.60475e-05,5.49243e-05,5.70969e-05,44.4313,42.6024,42.4339,43.9530125,0.0
D411_p300,2063,RWT166,RWT166/model_mesh_P0.h5,59443,19688,65832,85520,0.33120804804602727,1.1074811163635752,1.4386891644096025,3.59276e-05,5.61194e-05,5.78283e-05,44.4457,42.5089,42.3786,43.945212500000004,0.0
D611_p100,1863,RWT166,RWT166/model_mesh_P0.h5,59443,19688,68608,88296,0.33120804804602727,1.1541813165553556,1.485389364601383,3.51376e-05,5.62213e-05,5.86985e-05,44.5423,42.501,42.3137,44.00856249999999,0.0
D611_p200,1963,RWT166,RWT166/model_mesh_P0.h5,59443,19688,68632,88320,0.33120804804602727,1.1545850646838147,1.485793112729842,3.26467e-05,6.0604e-05,6.03617e-05,44.8616,42.175,42.1924,44.192125000000004,0.0
D611_p300,2063,RWT166,RWT166/model_mesh_P0.h5,59443,19688,68688,88376,0.33120804804602727,1.1555271436502195,1.4867351916962468,3.22185e-05,6.1585e-05,6.05822e-05,44.919,42.1053,42.1766,44.2244875,0.0
D111_p100,1863,RWT182,RWT182/572883_P0.h5,89187,7136,14864,22000,0.08001166089228251,0.16666106046845391,0.24667272136073642,4.07482e-05,8.91929e-06,8.62696e-06,43.8989,50.4967,50.6414,45.56643749999999,0.0
D111_p200,1963,RWT182,RWT182/572883_P0.h5,89187,7136,15088,22224,0.08001166089228251,0.16917263726776324,0.24918429816004575,4.02453e-05,8.87545e-06,8.56045e-06,43.9528,50.5181,50.675,45.613737500000006,0.0
D111_p300,2063,RWT182,RWT182/572883_P0.h5,89187,7136,14456,21592,0.08001166089228251,0.16208640272685482,0.24209806361913733,4.1452e-05,8.92246e-06,8.57479e-06,43.8245,50.4952,50.6678,45.51375,0.0
D411_p100,1863,RWT182,RWT182/572883_P0.h5,89187,7136,28496,35632,0.08001166089228251,0.3195084485407066,0.3995201094329891,2.87609e-05,9.12081e-06,8.7435e-06,45.412,50.3997,50.5831,46.68185,0.0
D411_p200,1963,RWT182,RWT182/572883_P0.h5,89187,7136,30776,37912,0.08001166089228251,0.34507271239081927,0.4250843732831018,2.74451e-05,9.22784e-06,8.84302e-06,45.6154,50.349,50.534,46.821925,0.0
D411_p300,2063,RWT182,RWT182/572883_P0.h5,89187,7136,30704,37840,0.08001166089228251,0.34426541984818415,0.42427708074046666,2.72187e-05,9.22042e-06,8.89163e-06,45.6513,50.3525,50.5102,46.8463125,0.0
D611_p100,1863,RWT182,RWT182/572883_P0.h5,89187,7136,32488,39624,0.08001166089228251,0.3642683350712548,0.4442799959635373,2.64722e-05,9.22855e-06,8.8852e-06,45.7721,50.3487,50.5133,46.936825000000006,0.0
D611_p200,1963,RWT182,RWT182/572883_P0.h5,89187,7136,34512,41648,0.08001166089228251,0.38696222543644254,0.46697388632872505,2.55109e-05,9.26111e-06,8.96286e-06,45.9327,50.3334,50.4755,47.05063749999999,0.0
D611_p300,2063,RWT182,RWT182/572883_P0.h5,89187,7136,34712,41848,0.08001166089228251,0.3892047047215401,0.46921636561382263,2.51198e-05,9.22611e-06,8.98048e-06,45.9998,50.3498,50.467,47.10195,0.0
D111_p100,1863,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,12656,26456,0.16168148746968472,0.1482783264794442,0.3099598139491289,3.68336e-05,7.41817e-06,6.98818e-06,44.3376,51.297,51.5564,46.109874999999995,0.0
D111_p200,1963,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,13200,27000,0.16168148746968472,0.15465185757969843,0.31633334504938315,3.62902e-05,7.35071e-06,6.92214e-06,44.4021,51.3367,51.5976,46.1683625,0.0
D111_p300,2063,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,12360,26160,0.16168148746968472,0.14481037573371763,0.3064918632034023,3.73336e-05,7.45236e-06,6.98356e-06,44.279,51.2771,51.5592,46.063787500000004,0.0
D411_p100,1863,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,25192,38992,0.16168148746968472,0.2951507269808911,0.45683221445057587,2.41397e-05,7.72056e-06,7.16585e-06,46.1727,51.1235,51.4473,47.450874999999996,0.0
D411_p200,1963,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,28200,42000,0.16168148746968472,0.33039260482935573,0.4920740922990405,2.26804e-05,7.80428e-06,7.23882e-06,46.4435,51.0767,51.4033,47.642625,0.0
D411_p300,2063,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,28904,42704,0.16168148746968472,0.338640703900273,0.5003221913699577,2.2277e-05,7.8533e-06,7.22195e-06,46.5214,51.0495,51.4135,47.698925,0.0
D611_p100,1863,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,28648,42448,0.16168148746968472,0.33564139514721214,0.4973228826168969,2.19488e-05,7.80994e-06,7.25883e-06,46.5859,51.0735,51.3913,47.747525,0.0
D611_p200,1963,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,31656,45456,0.16168148746968472,0.3708832729956768,0.5325647604653615,2.06334e-05,7.88604e-06,7.26828e-06,46.8543,51.0314,51.3857,47.942862500000004,0.0
D611_p300,2063,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,32472,46272,0.16168148746968472,0.38044356964605813,0.5421250571157429,2.01155e-05,7.92549e-06,7.27354e-06,46.9647,51.0097,51.3825,48.02255,0.0
D111_p100,1863,RWT226,RWT226/socha_zeny_P0.h5,56015,35024,99568,134592,0.6252610907792555,1.7775238775328037,2.4027849683120595,8.34113e-05,9.15861e-06,5.45781e-06,40.7878,50.3817,52.6298,43.4672875,0.0
D111_p200,1963,RWT226,RWT226/socha_zeny_P0.h5,56015,35024,99888,134912,0.6252610907792555,1.7832366330447202,2.4084977238239755,8.24695e-05,9.12715e-06,5.46032e-06,40.8371,50.3966,52.6278,43.505874999999996,0.0
D111_p300,2063,RWT226,RWT226/socha_zeny_P0.h5,56015,35024,99336,134360,0.6252610907792555,1.7733821297866643,2.39864322056592,8.45337e-05,9.24009e-06,5.4294e-06,40.7297,50.3432,52.6525,43.421737500000006,0.0
D411_p100,1863,RWT226,RWT226/socha_zeny_P0.h5,56015,35024,119592,154616,0.6252610907792555,2.134999553690976,2.760260644470231,5.22428e-05,9.95904e-06,5.6746e-06,42.8197,50.0178,52.4606,44.924575,0.0
D411_p200,1963,RWT226,RWT226/socha_zeny_P0.h5,56015,35024,125328,160352,0.6252610907792555,2.237400696242078,2.8626617870213336,4.55262e-05,1.00098e-05,5.72288e-06,43.4174,49.9957,52.4239,45.365500000000004,0.0
D411_p300,2063,RWT226,RWT226/socha_zeny_P0.h5,56015,35024,126368,161392,0.6252610907792555,2.2559671516558066,2.881228242435062,4.44041e-05,1.00617e-05,5.74105e-06,43.5258,49.9733,52.4101,45.442274999999995,0.0
D611_p100,1863,RWT226,RWT226/socha_zeny_P0.h5,56015,35024,123760,158784,0.6252610907792555,2.2094081942336876,2.834669285012943,4.77057e-05,1.01061e-05,5.73409e-06,43.2143,49.9542,52.4154,45.206925,0.0
D611_p200,1963,RWT226,RWT226/socha_zeny_P0.h5,56015,35024,129064,164088,0.6252610907792555,2.3040971168437028,2.929358207622958,4.1528e-05,1.01334e-05,5.75017e-06,43.8166,49.9424,52.4032,45.65565000000001,0.0
D611_p300,2063,RWT226,RWT226/socha_zeny_P0.h5,56015,35024,130720,165744,0.6252610907792555,2.33366062661787,2.958921717397126,4.01116e-05,1.01349e-05,5.75405e-06,43.9673,49.9418,52.4003,45.768237500000005,0.0
D111_p100,1863,RWT26,RWT26/2017-02-25-inspection-sol-william-v2_simplified_3d_mesh_P0.h5,85232,75760,224256,300016,0.8888680307865591,2.6311244602966024,3.519992491083161,8.13271e-05,6.45929e-05,8.59179e-05,40.8976,41.8982,40.6592,40.992875,0.0
D111_p200,1963,RWT26,RWT26/2017-02-25-inspection-sol-william-v2_simplified_3d_mesh_P0.h5,85232,75760,225040,300800,0.8888680307865591,2.640322883424066,3.5291909142106253,8.06545e-05,6.45143e-05,8.50472e-05,40.9337,41.9034,40.7034,41.026125,0.0
D111_p300,2063,RWT26,RWT26/2017-02-25-inspection-sol-william-v2_simplified_3d_mesh_P0.h5,85232,75760,224888,300648,0.8888680307865591,2.638539515674864,3.527407546461423,8.14585e-05,6.38144e-05,8.46933e-05,40.8906,41.9508,40.7215,41.0019875,0.0
D411_p100,1863,RWT26,RWT26/2017-02-25-inspection-sol-william-v2_simplified_3d_mesh_P0.h5,85232,75760,246168,321928,0.8888680307865591,2.8882110005631687,3.7770790313497278,5.4844e-05,6.99796e-05,9.23875e-05,42.6087,41.5503,40.3439,42.1933,0.0
