dataset,sample,ours_endpoint,metric,status,BD_BR_percent,shared_quality_min,shared_quality_max,reason
8iVFB,longdress,Ours Base,Y,AVAILABLE,21.96893149124739,27.3239,33.8162,
8iVFB,longdress,Ours Base,YUV611,AVAILABLE,11.448876631551897,28.6066,34.8154125,
8iVFB,longdress,Ours Full,Y,AVAILABLE,0.5726307452504464,28.955,41.3234,
8iVFB,longdress,Ours Full,YUV611,AVAILABLE,1.7948872451434728,29.914949999999997,41.53530000000001,
8iVFB,loot,Ours Base,Y,AVAILABLE,0.16903946713811013,33.6449,40.3484,
8iVFB,loot,Ours Base,YUV611,AVAILABLE,-5.259240995306913,37.038287499999996,43.0396875,
8iVFB,loot,Ours Full,Y,AVAILABLE,2.5106553025059375,33.6731,43.682,
8iVFB,loot,Ours Full,YUV611,AVAILABLE,1.0517466343062276,37.0677125,45.6166625,
8iVFB,redandblack,Ours Base,Y,AVAILABLE,-4.878505462273264,33.5624,39.1502,
8iVFB,redandblack,Ours Base,YUV611,AVAILABLE,-9.22925282144269,33.8754625,39.2361625,
8iVFB,redandblack,Ours Full,Y,AVAILABLE,-0.5749265889145594,33.6595,42.8344,
8iVFB,redandblack,Ours Full,YUV611,AVAILABLE,-0.6403244468231262,33.970437499999996,42.7703625,
8iVFB,soldier,Ours Base,Y,AVAILABLE,3.5589133451946475,31.7325,38.7975,
8iVFB,soldier,Ours Base,YUV611,AVAILABLE,0.14722506688416015,35.459075,41.76325,
8iVFB,soldier,Ours Full,Y,AVAILABLE,3.300282684881939,31.8147,42.9022,
8iVFB,soldier,Ours Full,YUV611,AVAILABLE,3.3556732976154136,35.5334625,44.8988,
CTC,Facade_00009_vox12,Ours Base,Y,AVAILABLE,4.753461591709485,29.3384,38.807,
CTC,Facade_00009_vox12,Ours Base,YUV611,AVAILABLE,3.5582229217705708,31.891824999999997,39.9928,
CTC,Facade_00009_vox12,Ours Full,Y,AVAILABLE,3.942293324148527,29.4561,39.8194,
CTC,Facade_00009_vox12,Ours Full,YUV611,AVAILABLE,3.636108418939954,31.965187500000003,40.746125,
CTC,House_without_roof_00057_vox12,Ours Base,Y,AVAILABLE,12.076455488044058,29.9656,35.7523,
CTC,House_without_roof_00057_vox12,Ours Base,YUV611,AVAILABLE,5.521354289515701,32.6621125,37.9511875,
