endpoint,rate_id,checkpoint_profile,base_lambda,model_id,num_h5,total_points,total_bits,bpp,y_mse,y_psnr,u_mse,u_psnr,v_mse,v_psnr,yuv_psnr_611
Base,Canonical_Base,32k8k,32768,RWT14,32,1603798,1004600,0.6263881112209891,0.00044589830413181713,33.50764179383056,1.4663309193196401e-05,48.33768007719173,1.0232487757410846e-05,49.900187662910085,37.41046481288564
Base,Canonical_Base,32k8k,32768,RWT21,32,2731318,748088,0.2738926774546208,0.00010232276929921744,39.900277144725834,1.0087892538983012e-05,49.96199552721183,1.046388209709378e-05,49.80307162451578,42.39584125251033
Base,Canonical_Base,32k8k,32768,RWT26,8,681857,582304,0.8539972457568082,0.00461378004327887,23.359431138173647,0.000233093639310002,36.32469577402879,0.0002342288796653844,36.3035955885344,26.598109773950632
Base,Canonical_Base,32k8k,32768,RWT43,32,2346552,1431432,0.6100150348255653,0.0007612528081849454,31.184710922875063,3.1990209240195825e-05,44.94982919291783,2.2150648298823126e-05,46.5461355844853,34.825528789331685
Base,Canonical_Base,32k8k,32768,RWT45,16,1541246,297392,0.19295556971437394,9.055903407677944e-05,40.430682184146576,7.763681557674766e-06,51.09932286341491,6.957906295834668e-06,51.57521424320244,43.1573287764371
Base,Canonical_Base,32k8k,32768,RWT65,32,1890004,818400,0.4330149565821025,0.0002469135368258479,36.074550995876685,2.9516871170801754e-05,45.29929680225425,1.8699933575643222e-05,47.28159936125685,38.6285252673464
Base,Canonical_Base,32k8k,32768,RWT115,32,2206378,482840,0.21883829516066602,0.00010389459020190557,39.834070655961185,2.4986021369846872e-05,46.02302892920526,1.970127782055931e-05,47.05505604680012,41.51031361397156
Base,Canonical_Base,32k8k,32768,RWT144,64,4126571,2782488,0.6742857447503023,0.0003291595710754279,34.82593512272309,9.856798957250463e-05,40.06264101378698,6.342670344317351e-05,41.97727860156115,36.374441293960835
Base,Canonical_Base,32k8k,32768,RWT158,32,2881477,1412848,0.4903207625811346,0.00020473043164043997,36.88817597927537,2.8264222449216144e-05,45.48762957511829,1.539125919588461e-05,48.12725848040277,39.367992991396655
Base,Canonical_Base,32k8k,32768,RWT166,16,951094,266056,0.2797368083491222,0.0002501631351117765,36.017766890356185,0.00014513811529144334,38.38218520801401,0.00010837675414396475,39.65063860137379,36.76742814394061
Base,Canonical_Base,32k8k,32768,RWT182,32,2854013,713960,0.2501600378134227,0.00015242139829198394,38.16954058535976,1.6892356123721235e-05,47.72309771378275,1.7290943992077123e-05,47.62181295947664,40.54526927317725
Base,Canonical_Base,32k8k,32768,RWT226,32,1792507,700816,0.3909697423775751,0.0006496476471729261,31.873221300947435,1.0305913269365196e-05,49.8691351671626,8.328325096348302e-06,50.79442330472246,36.48786078469621
Base,Canonical_Base,32k8k,32768,RWT285,32,2860405,1654352,0.5783628542112044,0.00030440711067523653,35.16545207056033,1.833199567683597e-05,47.36790253845236,9.501974592860102e-06,50.22186135166593,38.57280953918504
Base,Canonical_Base,32k8k,32768,RWT287,32,2104286,1511360,0.7182293661603033,0.0013137578116819671,28.814846886152434,0.00011018061587426803,39.57894804389194,0.00010690041169869495,39.71020622217535,31.522279447872737
Base,Canonical_Base,32k8k,32768,RWT296,32,2896904,475064,0.16399024613863628,0.00012097486081951629,39.173048688709265,2.0055145759990666e-05,46.97774177236083,1.1074260769500817e-05,49.55685254219257,41.44661080585113
Base,Canonical_Base,32k8k,32768,RWT323,32,1833437,965576,0.5266480386290884,0.0007728807177721405,31.11887527570275,4.5401702779261016e-05,43.429278587338814,3.689783185983483e-05,44.329991525123226,34.30906522083482
Base,Canonical_Base,32k8k,32768,RWT339,16,1598356,1012864,0.633691117623358,0.001172675714805713,29.308220686530525,4.686790772362352e-05,43.29124433814266,3.3379084630144974e-05,44.76525577349038,32.98822802885203
Base,Canonical_Base,32k8k,32768,RWT380,16,1376586,1162688,0.8446170453571371,0.003218736394568156,24.9231458935111,5.4305225545588875e-05,42.65158378211845,3.886099480083337e-05,44.10486086109302,29.53691500053476
Base,Canonical_Base,32k8k,32768,RWT391,16,1175911,1079296,0.9178381697254299,0.007695318048619325,21.137734260071728,3.061124541466148e-05,45.141190008269625,1.632799669864471e-05,47.87067096101915,27.479783316214895
Base,Canonical_Base,32k8k,32768,RWT405,8,483584,241464,0.49932173107464267,0.000895793625,30.47792032578062,2.13056625e-05,46.71504956857995,1.7243262500000002e-05,47.63380560338551,34.65204714083115
Base,Canonical_Base,32k8k,32768,RWT438,64,4357239,2110032,0.48425895389259116,0.0007341059984625584,31.342412272450645,4.505750026489251e-05,43.46232906071516,2.9972288878255247e-05,45.232800902462444,34.59370044973518
Base,Canonical_Base,32k8k,32768,RWT449,32,3114413,2462752,0.7907596070270706,0.0038868467416636773,24.104025832591294,2.2651826755571595e-06,56.44896768579457,1.1084999464415924e-06,59.55264323532913,32.578220739583934
Base,Canonical_Base,32k8k,32768,RWT453,32,2002771,629232,0.3141807026364971,0.0003685943516714592,34.33451324181276,1.70246494158044e-05,47.689218226368666,9.617861452612906e-06,50.16921483323667,37.98318906381024
Base,Canonical_Base,32k8k,32768,RWT463,16,1551288,1042832,0.6722362320858538,0.0022235573156164424,26.529516714612207,8.507082694941236e-05,40.702193455209354,8.585072378043279e-05,40.66256039087537,30.067731766719742
Base,Canonical_Base,32k8k,32768,RWT499,16,1596325,653256,0.4092249385306877,0.0008525283754761717,30.6929115707724,1.852186374973768e-05,47.323153148732054,1.0996586871432823e-05,49.587420905616,35.1335054348728
Base,Canonical_Base,32k8k,32768,RWT529,8,663415,266048,0.4010280141389628,0.0003606776329642833,34.428807891520556,4.5414610776361707e-05,43.42804403558671,3.39491925554894e-05,44.69170550481138,36.83657461119017
Base,Canonical_Base,32k8k,32768,RWT535,64,3331913,3667984,1.1008642782689704,0.0019976195143240534,26.99487228104717,4.787972690238312e-05,43.1984833539859,2.7390030835499007e-05,45.6240747882017,31.348973978558828
Base,Canonical_Base,32k8k,32768,RWT541,16,1350922,432096,0.31985266358827524,0.00024186205650215186,36.164322587330496,2.3033246040407958e-05,46.37644853260412,2.1037304732323555e-05,46.77009902106693,38.76656038470675
Full,Canonical_Full,32k8k,32768,RWT14,32,1603798,2749648,1.7144602998631997,8.441124865238642e-05,40.735996753868704,1.2868628085812551e-05,48.90467750416499,9.066005112414406e-06,50.42584040374095,42.96831230388977
Full,Canonical_Full,32k8k,32768,RWT21,32,2731318,1392352,0.5097729374609621,4.5499742828736896e-05,43.419910580324725,9.66932874410083e-06,50.14603674091936,9.795172875523831e-06,50.08987894715338,45.09442239625264
Full,Canonical_Full,32k8k,32768,RWT26,8,681857,2381208,3.4922395751601876,9.243982411898683e-05,40.34140889504332,0.00010525920334938264,39.77739921248975,0.00012528359796086275,39.021057828075946,40.1058638013532
Full,Canonical_Full,32k8k,32768,RWT43,32,2346552,4291312,1.8287734514300131,6.807917295133457e-05,41.66985728846697,2.2456570940852792e-05,46.486565586337804,1.5820772920693852e-05,48.00772302950069,43.06417904333004
Full,Canonical_Full,32k8k,32768,RWT45,16,1541246,621736,0.40339828943594985,4.753095863502648e-05,43.23023426485722,7.661155222839183e-06,51.15705738320866,6.756878068309666e-06,51.702539180941265,45.28012526916166
